iter	Passed	Remaining
0	6	1973
1	12	1831
2	19	1900
3	28	2142
4	37	2194
5	43	2151
6	48	2039
7	53	1946
8	60	1953
9	66	1917
10	72	1911
11	81	1944
12	87	1929
13	94	1938
14	100	1915
15	106	1888
16	112	1865
17	114	1801
18	120	1783
19	125	1750
20	130	1732
21	137	1741
22	142	1720
23	147	1694
24	151	1670
25	158	1669
26	163	1650
27	172	1672
28	180	1685
29	195	1763
30	212	1844
31	231	1942
32	242	1959
33	252	1971
34	266	2017
35	275	2017
36	282	2009
37	291	2012
38	303	2030
39	314	2041
40	325	2058
41	336	2064
42	346	2071
43	353	2056
44	360	2043
45	366	2025
46	371	2000
47	378	1986
48	386	1981
49	395	1979
50	405	1981
51	416	1987
52	428	1998
53	438	1995
54	446	1990
55	458	1998
56	470	2007
57	481	2010
58	488	1993
59	500	2000
60	512	2007
61	524	2012
62	535	2013
63	540	1994
64	553	2000
65	564	2001
66	574	1998
67	585	1997
68	598	2003
69	609	2001
70	620	1999
71	633	2007
72	651	2025
73	664	2029
74	675	2026
75	686	2024
76	699	2025
77	707	2012
78	720	2016
79	732	2014
80	742	2007
81	750	1994
82	760	1988
83	776	1995
84	789	1995
85	797	1983
86	816	1998
87	827	1993
88	839	1989
89	856	1998
90	869	1997
91	880	1989
92	890	1981
